,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
7/1/1967,0.1171308643,-0.661968947,1.0159565744,-0.6332978554,0.286637303,0.1300622996,0.5329672682,-0.3270937302,-0.5684025768,0.5300845462,0.2987655062,0.3168973806,-0.507096494,0.1639709025,0.4859826913,0.4523857543,-0.9508392251,-1.1433204968,-1.3705528692,0.2395036065,0.2670471565,0.0661988061,-0.2833034051,0.5471786509,0.3749879053,0.0482419494,0.781088193,0.3368116766,0.5092352596,0.2664226164,0.0842241773,0.6915699844,0.2326939356,-0.3008403148,-0.2807020749,0.3579232306,0.0134258926,0.1906546009,0.1372693592,-0.0644180511,0.0242594537,0.2373168878,0.2008654273,0.2811548718,0.1339935412,1.2424316828,-0.0945284438,0.1798485241,0.5131309165,-0.1792966991,1.5538658579
8/1/1967,0.2611340668,0.3219871683,-1.9454952676,0.8281252109,0.4682300496,0.4753217421,1.3700268415,1.2279364916,0.5180674396,0.4546299399,0.1074610913,0.9497594629,0.7503746271,0.2090741955,0.6562564154,0.3471265449,0.1903740731,1.2367450224,0.6908365667,0.0429197708,0.4591454053,0.5064199469,1.4128574363,0.0680298038,0.0164163903,0.1343410554,-2.4498976826,0.4434922076,0.7071473105,0.3124076612,0.2624686502,-0.4308315725,0.5206291516,0.5753757479,0.3228626139,1.0236254176,0.5328886896,0.5801364832,0.259668944,0.6974546882,0.2854881211,1.0730654996,0.3386870092,0.1099267684,-1.11608655,-0.0659979207,0.4137841496,0.5253959792,-0.6496565309,-0.0952239535,0.469486962
9/1/1967,0.3801405391,2.9419611081,0.8438425063,1.0067299095,0.5737024369,0.1815071212,-0.5382195943,-0.0870660708,-0.1431943838,0.3535594497,0.2594057843,-0.3659842396,0.9516260393,0.004303047,0.0658370117,0.347503012,0.4109960205,-0.1931827427,0.0721026617,0.5756529386,0.4392301554,-0.2391932086,-2.5863593049,0.4551851805,0.2430209329,-0.0930012442,0.77240443,0.4190867111,0.1757731381,0.2429169171,-0.2947979511,-0.1273266239,-0.129167611,0.5826209541,1.2805540866,-0.4746406313,0.3439592714,-0.0241462289,0.3268264692,0.3210305787,0.5997564384,-0.3990669767,0.1192869957,0.2648494197,-0.4073410257,-0.6067541772,0.4076113322,0.6119423594,0.0725852545,0.4426966409,0.2001618245
10/1/1967,-0.0724478538,-1.2286059994,-0.3568917815,0.2299818019,0.3634179091,0.176160586,0.2705947722,0.2463209124,-3.6580146276,0.3348270644,-0.0968292251,0.6647487493,0.3795234832,-0.8276454258,0.4775160741,-0.4873972086,0.0668720026,0.1944710411,0.5581276567,-0.7385679095,0.564466734,0.1970539673,-0.573521984,-0.3446865312,0.2657030643,-0.0015467609,1.1139261804,0.4092618586,0.3765390608,0.028473767,0.4623826644,-0.4428775093,-0.1109847174,0.4758084624,-0.2443157223,0.3039037661,0.1704117171,0.0663047483,0.10600614,-0.1158506496,0.4092519528,0.5824744818,0.3854937542,0.2901827931,0.1321037216,0.1049465177,0.4455453313,0.5327006698,0.4882279921,0.2068931381,0.5516591526
11/1/1967,0.528191202,0.5002329645,0.5343731088,0.2437778225,0.6962159134,0.186805665,-0.0583429286,0.1225664454,0.5711035712,0.5529007369,0.575653947,1.0482411122,-0.1038337512,0.9281745716,0.242677285,0.597653665,0.5724040689,0.5026093907,0.3904636413,0.6184893569,0.3234348947,0.2267331567,3.033162954,-0.0065146148,0.3007073363,0.1936870401,0.7587468486,0.4507224409,-0.1708211303,0.6504380489,0.6449597208,0.1060407294,0.8537164125,0.7779832546,0.3444432474,0.9196152766,0.4404426412,0.9271939619,0.3078543345,0.5309572897,0.3083852075,1.0786942924,0.6784027938,0.4064274249,-0.0504672113,0.1211410669,0.7131495036,0.7259128411,0.3195578197,0.1302963663,0.7411004406
12/1/1967,-0.0334191627,0.8524866726,0.7264609993,0.4867227878,0.1525615709,0.76837624,0.4079702104,0.0497825756,0.0446526496,0.5592287399,0.2596256408,0.395208119,0.0848613013,0.1531646112,0.3132541231,-0.7859068951,0.4317379162,0.6502490111,0.2161597405,0.2648429684,0.1666587143,0.3607107065,0.30468207,0.8901028437,0.3655457277,0.3502139329,0.1326407184,-0.0046469586,-0.2291180989,0.2385993488,0.2010211226,0.3648161648,0.203140545,0.0416758141,1.1696305155,0.661597,0.0865764332,0.0490280515,0.2460660323,0.0888215074,0.3431746342,0.0753753594,0.5549184816,0.4272629286,0.2575904656,0.1518002458,0.0120755198,0.6269601173,0.0325258302,0.3304658607,0.5898126501
1/1/1968,-0.0951010171,-1.0199472526,0.5379197967,-0.9194508847,0.3660995296,0.4883590138,-0.2400778769,-0.0593494181,0.1960903634,0.3998941047,0.1262226407,0.1132022096,0.2511138629,0.2344560895,-0.017185335,1.1042278004,0.0492121816,-0.5858568329,-0.3866932155,-0.2679132514,0.0074256099,-0.3003824615,0.1033744211,0.2891875839,-0.0113947621,0.1494698678,-0.1588159278,-0.6776020934,2.088106217,0.1655355682,0.1927076716,-0.1108674878,0.0963644752,-0.3223274134,0.4738439985,-0.1135754303,-0.27765866,0.6479760265,0.0620356246,-0.7513271695,-0.6997548144,-0.2364497481,-0.6003145464,0.1930406348,-0.6169442988,0.0718678352,-0.2534058712,0.9093948958,-0.3224936906,0.1625222043,0.3882202459
2/1/1968,0.5605480612,0.6108520524,0.3480771953,1.019593331,0.3155633532,0.4364588331,0.9378648185,1.5138961035,0.3204492703,0.6108705931,0.9192435856,-0.3732210267,0.2907100271,0.0262218091,0.0499959889,0.5197847763,0.7437466019,1.513634686,0.9658442817,1.1526974611,0.4972295025,0.5299960096,0.2821325705,0.3068869022,0.7353419645,0.4942369097,0.3092178729,0.5790086946,0.842701758,0.6279082249,0.4295423979,0.2304493952,0.2890033501,1.3493924598,0.1729798984,0.5404781684,0.4096492077,0.2987767149,0.2545637138,1.0042840118,1.0585155468,0.1175150414,0.6355865516,0.7409691042,0.6122333865,0.279085401,1.0199951656,0.0342434957,0.339002561,0.4665071551,0.2427117398
3/1/1968,0.2888542013,0.6564234973,0.6119524237,-0.1352648398,0.1158999242,0.5774653564,-0.0252146158,-0.9667978487,-0.2302429072,0.3830707175,0.0165805639,0.2809994347,0.2901035135,0.2399308804,0.12370184,-0.0460519401,0.2314722619,0.4580672212,0.0302016385,0.1036240344,0.0766314899,-0.0408801024,0.0778664944,0.203141152,0.3196134421,0.1750478669,0.3638762923,0.3294016095,0.5159916514,0.4089466698,-0.0972645092,0.2380227354,-0.0195585819,0.1406162122,0.2291656584,0.23671718,0.1607073565,0.0365661781,0.045780447,0.1648103459,0.3650910136,0.2975453159,0.507858491,0.3130266687,0.5059946385,0.525670086,0.2260148695,0.1532724842,-0.0460453828,0.1912976164,0.3482217398
4/1/1968,-0.1089044585,-0.4760948088,1.413229993,0.10279142,0.2588319051,0.1714622098,0.3416095393,0.6200530384,-0.5320884256,0.8458708432,0.4187483769,1.4159613233,-0.1080382227,0.4016386659,0.6763578047,0.2382571957,0.1612279956,0.1488671607,0.290853405,-0.4669131181,0.49560298,-0.2708943843,0.6728720546,0.1609194471,0.3416095838,0.0408691537,0.5562909492,-0.0520037685,0.323027733,0.1464040288,0.6875988192,0.0776193992,0.2232193117,0.6423264501,0.0346598193,0.4682446915,0.4876041289,0.2931800444,0.4498752818,-0.1772634762,0.5922726984,0.0990759058,0.0794142359,0.5424954139,1.7518684644,0.3186423911,0.2722143222,-0.3924849556,0.4578648114,0.2311230986,-0.3256513087
5/1/1968,0.0694422328,-0.3859101108,0.7064638761,0.0345474032,0.3326680852,0.3837499547,0.1545995501,-0.0655672198,0.3869878221,0.4406816478,0.5755041334,0.6211135759,0.3137481873,-0.0253953151,0.1100252944,-0.1055978162,0.0487018436,0.5740538562,0.2790743433,-0.0717151248,0.1684384561,0.3829884905,-1.9961946432,0.2380512343,0.3126924648,0.3369245384,0.0730121927,0.0975222342,0.4239787448,-0.7612747951,-0.8147625649,0.3548584134,0.1675775775,0.4886718022,-0.3625821188,0.2884982582,0.2221216726,0.1943862913,0.1250354718,-0.2561356199,0.3289862781,-0.5162188835,0.5324867119,0.4497820061,-0.3502347856,0.5764214249,0.3312390788,0.5545169775,-0.1882285055,0.3845178516,0.5109228742
